CSB_REGION_CD,CSB_REGION_DSC,AGEN_AGENCY_IDENTIFIER_CD,AGEN_AGENCY_NM,AGEN_ADDRESS_LINE_1_TXT,AGEN_ADDRESS_LINE_2_TXT,AGEN_POSTAL_CODE_TXT,CITY_LONG_NM
1,Vancouver Island,1031,Campbell River Law Courts,500 13th Ave.,,V9W6P1,Campbell River
1,Vancouver Island,1041,Courtenay Law Courts,420 Cumberland Road,,V9N 2C4,Courtenay
1,Vancouver Island,1051,Duncan Law Courts,238 Government Street,,V9L1A5,Duncan
1,Vancouver Island,1061,Ganges Provincial Court,343 Lower Ganges Road,,,Ganges
1,Vancouver Island,1071,Gold River Provincial Court,499 Muchalat Drive,,V0P1G0,Gold River
1,Vancouver Island,1091,Nanaimo Law Courts,35 Front Street,,V9R5J1,Nanaimo
1,Vancouver Island,1121,Port Alberni Law Courts,2999 4th Avenue,,V9Y8A5,Port Alberni
1,Vancouver Island,1141,Port Hardy Law Courts,"9300 Trustee Rd, Box 279",,V0N2P0,Port Hardy
1,Vancouver Island,1145,Powell River Law Courts,103 - 6953 Alberni Street,,V8A2B8,Powell River
1,Vancouver Island,1151,Sidney Provincial Court,9884 3rd Street,,V8L1W3,Sidney
1,Vancouver Island,1171,Tahsis Provincial Court,977 South Maquinna,,V0P1X0,Tahsis
1,Vancouver Island,1181,Tofino Provincial Court,351 Arnet Road,,V0R2Z0,Tofino
1,Vancouver Island,1191,Ucluelet Provincial Court,Room #100 - 500 Matterson Driv,,V0R3A0,Ucluelet
1,Vancouver Island,1201,Victoria Law Courts,850 Burdett Avenue,,V8W 9J2,Victoria
1,Vancouver Island,1211,Western Communities Provincial Court,1756 Island Highway,,V8W9J5,Colwood
1,Vancouver Island,CVCC,Cowichan Community Centre,2687 James Street,,,Duncan
1,Vancouver Island,UVIC,University of Victoria,Murray & Anne Fraser Bldg,"McGill Road at Ring Road",,Victoria
2,Vancouver Coastal,2007,Bella Bella Provincial Court,214 Wabalisla Street,Browns Restaurant,V0T 1Z0,Bella Bella
